,date_production_year_month,id,dict_demand_prod_date_month_value,month-1,production_plan_year_month-1,plan_date_value,logistic_stock_month_count
2,2023-M1,32,45.0,0,2023-M0,0.0,-13.0
3,2023-M10,33,64.0,9,2023-M9,0.0,-31.0
4,2023-M11,33,6.0,10,2023-M10,0.0,27.0
5,2023-M12,31,0.0,11,2023-M11,0.0,31.0
6,2023-M2,30,35.0,1,2023-M1,0.0,-5.0
7,2023-M3,33,37.0,2,2023-M2,0.0,-4.0
8,2023-M4,27,23.0,3,2023-M3,0.0,4.0
9,2023-M5,33,36.0,4,2023-M4,0.0,-3.0
10,2023-M6,27,43.0,5,2023-M5,0.0,-16.0
11,2023-M7,21,41.0,6,2023-M6,0.0,-20.0
12,2023-M8,20,43.0,7,2023-M7,0.0,-23.0
13,2023-M9,30,65.0,8,2023-M8,0.0,-35.0
