,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,startTime,endTime,date,FTEhourByDay,ExtraHour,Absenteeism_ratio,Unproductiveness_ratio,Efficienty_ratio,owner,product_id
0,3459,2022-09-27 21:52:04.807710,2022-09-27 21:52:04.807710,Marwa,Marwa,False,,2022-09-27 21:52:04.807710,2022-09-27 21:52:04.807710,Marwa,06:00:00,22:00:00,2022-08-08,16.0,0.0,1.0,1.0,1.0,officiel,16
1,3460,2022-09-27 21:52:04.839711,2022-09-27 21:52:04.839711,Marwa,Marwa,False,,2022-09-27 21:52:04.839711,2022-09-27 21:52:04.839711,Marwa,06:00:00,22:00:00,2022-08-09,16.0,0.0,1.0,1.0,1.0,officiel,16
2,3461,2022-09-27 21:52:04.863712,2022-09-27 21:52:04.863712,Marwa,Marwa,False,,2022-09-27 21:52:04.863712,2022-09-27 21:52:04.863712,Marwa,06:00:00,22:00:00,2022-08-10,16.0,0.0,1.0,1.0,1.0,officiel,16
3,3462,2022-09-27 21:52:04.879711,2022-09-27 21:52:04.879711,Marwa,Marwa,False,,2022-09-27 21:52:04.879711,2022-09-27 21:52:04.879711,Marwa,06:00:00,22:00:00,2022-08-11,16.0,0.0,1.0,1.0,1.0,officiel,16
4,3463,2022-09-27 21:52:04.895714,2022-09-27 21:52:04.895714,Marwa,Marwa,False,,2022-09-27 21:52:04.895714,2022-09-27 21:52:04.895714,Marwa,06:00:00,22:00:00,2022-08-12,16.0,0.0,1.0,1.0,1.0,officiel,16
5,3464,2022-09-27 21:56:46.588592,2022-09-27 21:56:46.588592,Marwa,Marwa,False,,2022-09-27 21:56:46.596590,2022-09-27 21:56:46.596590,Marwa,06:00:00,22:00:00,2022-08-15,16.0,0.0,1.0,1.0,1.0,officiel,16
6,3465,2022-09-27 21:56:46.620660,2022-09-27 21:56:46.620660,Marwa,Marwa,False,,2022-09-27 21:56:46.620660,2022-09-27 21:56:46.620660,Marwa,06:00:00,22:00:00,2022-08-16,16.0,0.0,1.0,1.0,1.0,officiel,16
7,3466,2022-09-27 21:56:46.636591,2022-09-27 21:56:46.636591,Marwa,Marwa,False,,2022-09-27 21:56:46.636591,2022-09-27 21:56:46.636591,Marwa,06:00:00,22:00:00,2022-08-17,16.0,0.0,1.0,1.0,1.0,officiel,16
8,3467,2022-09-27 21:56:46.652631,2022-09-27 21:56:46.652631,Marwa,Marwa,False,,2022-09-27 21:56:46.652631,2022-09-27 21:56:46.652631,Marwa,06:00:00,22:00:00,2022-08-18,16.0,0.0,1.0,1.0,1.0,officiel,16
9,3468,2022-09-27 21:56:46.668610,2022-09-27 21:56:46.668610,Marwa,Marwa,False,,2022-09-27 21:56:46.668610,2022-09-27 21:56:46.668610,Marwa,06:00:00,22:00:00,2022-08-19,16.0,0.0,1.0,1.0,1.0,officiel,16
10,3474,2022-09-27 21:59:19.666966,2022-09-27 21:59:19.666966,Marwa,Marwa,False,,2022-09-27 21:59:19.666966,2022-09-27 21:59:19.666966,Marwa,06:00:00,22:00:00,2022-08-22,16.0,0.0,1.0,1.0,1.0,officiel,16
11,3475,2022-09-27 21:59:19.690894,2022-09-27 21:59:19.690894,Marwa,Marwa,False,,2022-09-27 21:59:19.690894,2022-09-27 21:59:19.690894,Marwa,06:00:00,22:00:00,2022-08-23,16.0,0.0,1.0,1.0,1.0,officiel,16
12,3476,2022-09-27 21:59:19.714906,2022-09-27 21:59:19.714906,Marwa,Marwa,False,,2022-09-27 21:59:19.714906,2022-09-27 21:59:19.714906,Marwa,06:00:00,22:00:00,2022-08-24,16.0,0.0,1.0,1.0,1.0,officiel,16
13,3477,2022-09-27 21:59:19.730892,2022-09-27 21:59:19.730892,Marwa,Marwa,False,,2022-09-27 21:59:19.730892,2022-09-27 21:59:19.730892,Marwa,06:00:00,22:00:00,2022-08-25,16.0,0.0,1.0,1.0,1.0,officiel,16
14,3478,2022-09-27 21:59:19.746916,2022-09-27 21:59:19.746916,Marwa,Marwa,False,,2022-09-27 21:59:19.746916,2022-09-27 21:59:19.746916,Marwa,06:00:00,22:00:00,2022-08-26,16.0,0.0,1.0,1.0,1.0,officiel,16
15,3479,2022-09-27 22:00:12.892896,2022-09-27 22:00:12.892896,Marwa,Marwa,False,,2022-09-27 22:00:12.892896,2022-09-27 22:00:12.892896,Marwa,06:00:00,22:00:00,2022-08-29,16.0,0.0,1.0,1.0,1.0,officiel,16
16,3480,2022-09-27 22:00:12.916889,2022-09-27 22:00:12.916889,Marwa,Marwa,False,,2022-09-27 22:00:12.916889,2022-09-27 22:00:12.916889,Marwa,06:00:00,22:00:00,2022-08-30,16.0,0.0,1.0,1.0,1.0,officiel,16
17,3481,2022-09-27 22:00:12.932842,2022-09-27 22:00:12.932842,Marwa,Marwa,False,,2022-09-27 22:00:12.932842,2022-09-27 22:00:12.932842,Marwa,06:00:00,22:00:00,2022-08-31,16.0,0.0,1.0,1.0,1.0,officiel,16
18,3482,2022-09-27 22:01:22.688524,2022-09-27 22:01:22.688524,Marwa,Marwa,False,,2022-09-27 22:01:22.688524,2022-09-27 22:01:22.688524,Marwa,06:00:00,22:00:00,2022-09-01,16.0,0.0,1.0,1.0,1.0,officiel,16
